ENSG00000054116.12	TRAPPC3
ENSG00000116871.15	MAP7D1
ENSG00000054118.15	THRAP3
ENSG00000231849.1	UBE2V2P4
ENSG00000214193.11	SH3D21
ENSG00000142694.6	EVA1B
ENSG00000196182.10	STK40
ENSG00000181817.6	LSM10
ENSG00000116885.18	OSCP1
ENSG00000116898.12	MRPS15
ENSG00000119535.17	CSF3R
ENSG00000230214.1	FTLP18
ENSG00000163873.10	GRIK3
ENSG00000252368.1	RNA5SP43
ENSG00000230451.2	RPS29P6
ENSG00000163874.11	ZC3H12A
ENSG00000163875.15	MEAF6
ENSG00000163877.11	SNIP1
ENSG00000232273.1	FTH1P1
ENSG00000237749.4	AL034379.1
ENSG00000163879.11	DNALI1
ENSG00000134697.13	GNL2
ENSG00000169218.14	RSPO1
ENSG00000116922.14	C1orf109
ENSG00000134690.11	CDCA8
ENSG00000183317.17	EPHA10
ENSG00000214141.4	ACTN4P2
ENSG00000227416.2	AL929472.1
ENSG00000185090.14	MANEAL
ENSG00000196449.4	YRDC
ENSG00000197982.14	C1orf122
ENSG00000188786.10	MTF1
ENSG00000235673.1	AL929472.4
ENSG00000204084.13	INPP5B
ENSG00000183431.12	SF3A3
ENSG00000183386.10	FHL3
ENSG00000183520.12	UTP11
ENSG00000185668.8	POU3F1
ENSG00000223589.2	AL139158.1
ENSG00000275350.1	AL513479.1
ENSG00000215895.4	AL354702.1
ENSG00000116954.8	RRAGC
ENSG00000214114.9	MYCBP
ENSG00000274944.4	AL139260.3
ENSG00000131233.10	GJA9
ENSG00000158315.11	RHBDL2
ENSG00000235549.1	EIF1P2
ENSG00000174574.16	AKIRIN1
ENSG00000168653.11	NDUFS5
ENSG00000127603.27	MACF1
ENSG00000222378.1	RNA5SP44
ENSG00000217897.2	HSPE1P8
ENSG00000183682.8	BMP8A
ENSG00000237624.1	OXCT2P1
ENSG00000243970.3	PPIEL
ENSG00000090621.14	PABPC4
ENSG00000163909.8	HEYL
ENSG00000116983.13	HPCAL4
ENSG00000084072.16	PPIE
ENSG00000225333.6	AL035404.1
ENSG00000116985.12	BMP8B
